
User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000001,P00069042,0,2,10,A,2,0,3,,,8370
1000001,P00248942,0,15,10,A,2,0,1,6,14,15200
1000001,P00087842,0,4,10,A,2,0,12,,,1422
1000001,P00085442,0,6,10,A,2,0,12,14,,1057
1000002,P00285442,1,55,16,C,4+,0,8,,,7969
1000003,P00193542,1,33,15,A,3,0,1,2,,15227
1000004,P00184942,1,49,7,B,2,1,1,8,17,19215
1000004,P00346142,1,47,7,B,2,1,1,15,,15854
1000004,P0097242,1,48,7,B,2,1,1,16,,15686
1000005,P00274942,1,31,20,A,1,1,8,,,7871
1000005,P00251242,1,31,20,A,1,1,5,11,,5254
1000005,P00014542,1,29,20,A,1,1,8,,,3957
1000005,P00031342,1,32,20,A,1,1,8,,,6073
1000005,P00145042,1,29,20,A,1,1,1,2,5,15665
1000006,P00231342,0,54,9,A,1,0,5,8,14,5378
1000006,P00190242,0,52,9,A,1,0,4,5,,2079
1000006,P0096642,0,52,9,A,1,0,2,3,4,13055
1000006,P00058442,0,53,9,A,1,0,5,14,,8851
1000007,P00036842,1,44,1,B,1,1,1,14,16,11788
1000008,P00249542,1,31,12,C,4+,1,1,5,15,19614
1000008,P00220442,1,28,12,C,4+,1,5,14,,8584
1000008,P00156442,1,31,12,C,4+,1,8,,,9872
1000008,P00213742,1,34,12,C,4+,1,8,,,9743
1000008,P00214442,1,31,12,C,4+,1,8,,,5982
1000008,P00303442,1,30,12,C,4+,1,1,8,14,11927
1000009,P00135742,1,29,17,C,0,0,6,8,,16662
1000009,P00039942,1,27,17,C,0,0,8,,,5887
1000009,P00161442,1,31,17,C,0,0,5,14,,6973
1000010,P00297942,0,40,1,B,4+,1,8,,,5875
1000010,P00266842,0,37,1,B,4+,1,5,,,8854
1000010,P00058342,0,42,1,B,4+,1,3,4,,10946
1000010,P00032442,0,40,1,B,4+,1,5,,,5152
1000010,P00105942,0,41,1,B,4+,1,5,,,7089
1000010,P00182642,0,41,1,B,4+,1,2,4,9,12909
1000010,P00186942,0,44,1,B,4+,1,5,12,,8770
1000010,P00155442,0,37,1,B,4+,1,1,11,15,15212
1000010,P00221342,0,44,1,B,4+,1,1,2,5,15705
1000010,P00087242,0,37,1,B,4+,1,14,,,7947
1000010,P00111142,0,39,1,B,4+,1,1,15,16,18963
1000010,P00259342,0,42,1,B,4+,1,5,9,,8718
1000010,P0094542,0,41,1,B,4+,1,2,4,9,16406
1000010,P00148642,0,43,1,B,4+,1,6,10,13,12642
1000010,P00312142,0,37,1,B,4+,1,8,,,10007
1000010,P00113242,0,43,1,B,4+,1,1,6,8,11562
1000011,P00192642,0,29,1,C,1,0,8,17,,6171
1000011,P00110842,0,29,1,C,1,0,1,2,5,19327
1000011,P00189642,0,29,1,C,1,0,8,13,,8027
1000012,P00304242,1,33,12,C,2,0,1,6,,15246
1000012,P00365242,1,32,12,C,2,0,5,8,,6865
1000013,P00129542,1,49,1,C,3,1,8,14,,5839
1000013,P00140742,1,49,1,C,3,1,1,15,,15912
1000013,P00182342,1,47,1,C,3,1,1,5,6,12107
1000014,P00276642,1,42,0,C,0,0,8,11,,5848
1000015,P00334242,1,34,7,A,1,0,1,8,,19653
1000015,P00247542,1,27,7,A,1,0,8,16,,5958
1000015,P00338442,1,31,7,A,1,0,1,16,,11415
1000015,P00275142,1,33,7,A,1,0,5,8,,5380
1000015,P00333042,1,31,7,A,1,0,5,8,,3594
1000015,P00166242,1,34,7,A,1,0,8,,,4209
1000015,P00161942,1,28,7,A,1,0,5,8,,5407
1000015,P00348242,1,30,7,A,1,0,8,,,7803
1000015,P00042142,1,30,7,A,1,0,1,2,6,11458
1000016,P00244242,0,44,0,C,0,1,1,2,15,11755
1000016,P00217742,0,37,0,C,0,1,5,14,,8702
1000017,P00019342,1,54,1,C,0,0,1,6,15,15872
1000017,P00100642,1,53,1,C,0,0,5,15,,8609
1000017,P00073842,1,52,1,C,0,0,1,15,17,15172
1000018,P00366542,0,20,3,B,3,0,5,,,1780
1000018,P00190742,0,19,3,B,3,0,3,4,9,10754
1000018,P00151842,0,20,3,B,3,0,4,8,9,2802
1000018,P00112642,0,23,3,B,3,0,1,2,5,19473
1000018,P00118442,0,20,3,B,3,0,1,2,,19672
1000018,P00034442,0,22,3,B,3,0,1,14,16,19313
1000018,P00222242,0,22,3,B,3,0,1,2,13,15182
1000018,P00118342,0,19,3,B,3,0,2,3,15,15985
1000018,P00324742,0,21,3,B,3,0,2,9,14,16454
1000018,P00190042,0,19,3,B,3,0,3,4,5,13551
1000018,P0094142,0,20,3,B,3,0,4,5,,697
1000018,P00138542,0,21,3,B,3,0,5,6,,7030
1000018,P00158542,0,19,3,B,3,0,5,6,13,5430
1000018,P00157542,0,19,3,B,3,0,8,14,,8011
1000018,P00044142,0,23,3,B,3,0,8,16,,5912
1000019,P00112542,1,14,10,A,3,0,1,11,15,7746
1000019,P00339542,1,7,10,A,3,0,1,,,19525
1000019,P00127842,1,16,10,A,3,0,1,2,15,11959
1000019,P00125942,1,4,10,A,3,0,1,2,15,19172
1000019,P00251342,1,7,10,A,3,0,5,11,,8773
1000019,P00249642,1,6,10,A,3,0,3,5,,11023
1000019,P00124842,1,4,10,A,3,0,11,,,4654
1000019,P00250642,1,3,10,A,3,0,11,,,4664
1000019,P00058142,1,16,10,A,3,0,3,4,12,8290
1000019,P00117442,1,3,10,A,3,0,5,14,,7011
1000019,P00251642,1,13,10,A,3,0,1,2,4,4211
1000019,P00244842,1,15,10,A,3,0,11,,,1539
1000021,P00220242,1,19,16,B,0,0,3,12,,3055
1000022,P00351142,1,24,15,A,4+,0,1,8,17,12099
1000022,P00213242,1,23,15,A,4+,0,5,8,,8797
1000022,P00195942,1,23,15,A,4+,0,3,4,,10681
1000022,P00115642,1,23,15,A,4+,0,8,14,,7801
1000022,P0098242,1,21,15,A,4+,0,1,16,,15517
1000022,P00262242,1,24,15,A,4+,0,1,11,16,12098
1000022,P00258742,1,23,15,A,4+,0,5,,,6976
1000022,P00218242,1,22,15,A,4+,0,5,8,,5384
1000022,P00021742,1,20,15,A,4+,0,5,,,6973
1000022,P00313042,1,23,15,A,4+,0,5,14,,5168
1000022,P00133742,1,20,15,A,4+,0,5,14,,3449
1000022,P00077042,1,20,15,A,4+,0,5,,,7177
1000022,P00280542,1,24,15,A,4+,0,11,,,4570
1000022,P00225842,1,22,15,A,4+,0,2,4,15,9564
1000023,P00278942,1,40,0,B,3,1,1,2,3,15766
1000023,P00004742,1,38,0,B,3,1,6,16,,8481
1000023,P00198042,1,38,0,B,3,1,11,16,,6108
1000023,P00177442,1,43,0,B,3,1,1,6,8,15354
1000023,P00000642,1,41,0,B,3,1,1,6,16,12015
1000023,P00288942,1,44,0,B,3,1,1,2,5,15371
1000023,P00270942,1,40,0,B,3,1,1,2,15,19239
1000023,P00345842,1,39,0,B,3,1,2,8,14,16137
1000023,P00032042,1,38,0,B,3,1,1,2,15,11887
1000023,P00313042,1,43,0,B,3,1,5,14,,5183
1000023,P00112342,1,39,0,B,3,1,13,16,,584
1000023,P00031842,1,44,0,B,3,1,1,5,12,7601
1000024,P00346642,0,30,7,A,3,1,8,,,2230
1000024,P00205642,0,32,7,A,3,1,5,8,,6940
1000024,P00248942,0,32,7,A,3,1,1,6,14,15774
1000025,P00206442,1,24,4,C,4+,0,1,5,9,15361
1000025,P00046742,1,20,4,C,4+,0,1,2,15,15770
1000025,P00120042,1,20,4,C,4+,0,1,2,,18974
1000026,P00043242,1,30,7,B,2,1,5,,,1848
1000026,P00057242,1,28,7,B,2,1,5,,,3624
1000026,P00022842,1,34,7,B,2,1,5,,,5275
1000026,P00252042,1,30,7,B,2,1,5,14,,5356
1000026,P00042242,1,34,7,B,2,1,5,15,,5411
